"GO_0016","            IDA/C0202561313R.LBL","IM4", -1, -1, -1, -1, -1, -1, -1, -1,"OFF","  NORMAL","OFF","NOT INVERTED","U","               UNK","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                 GLL940520.BSP","                 GLL940520.BSP","                           N/A","   CKEJ03DI_PREDICT_I NTERP.BC","             SSI_MINI_E.EJ03DI",  1.782
"GO_0016","            IDA/C0202561326R.LBL","IM4", -1, -1, -1, -1, -1, -1, -1, -1,"OFF","  NORMAL","OFF","NOT INVERTED","U","               UNK","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                 GLL940520.BSP","                 GLL940520.BSP","                           N/A","   CKEJ03DI_PREDICT_I NTERP.BC","             SSI_MINI_E.EJ03DI",  1.975
"GO_0016","            IDA/C0202561339R.LBL","IM4", -1, -1, -1, -1, -1, -1, -1, -1,"OFF","  NORMAL","OFF","NOT INVERTED","U","               UNK","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                 GLL940520.BSP","                 GLL940520.BSP","                           N/A","   CKEJ03DI_PREDICT_I NTERP.BC","             SSI_MINI_E.EJ03DI",  3.021
"GO_0016","            IDA/C0202561352R.LBL","IM4", -1, -1, -1, -1, -1, -1, -1, -1,"OFF","  NORMAL","OFF","NOT INVERTED","U","               UNK","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                 GLL940520.BSP","                 GLL940520.BSP","                           N/A","   CKEJ03DI_PREDICT_I NTERP.BC","             SSI_MINI_E.EJ03DI",  3.053
"GO_0016","            IDA/C0202561578R.LBL","IM4", -1, -1, -1, -1, -1, -1, -1, -1,"OFF","  NORMAL","OFF","NOT INVERTED","U","               UNK","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                 GLL940520.BSP","                 GLL940520.BSP","                           N/A","   CKEJ03DI_PREDICT_I NTERP.BC","             SSI_MINI_E.EJ03DI",  2.690
"GO_0016","            IDA/C0202561700R.LBL","IM4", -1, -1, -1, -1, -1, -1, -1, -1,"OFF","  NORMAL","OFF","NOT INVERTED","U","               UNK","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                 GLL940520.BSP","                 GLL940520.BSP","                           N/A","   CKEJ03DI_PREDICT_I NTERP.BC","             SSI_MINI_E.EJ03DI",  0.682
"GO_0016","            IDA/C0202561745R.LBL","IM4", -1, -1, -1, -1, -1, -1, -1, -1,"OFF","  NORMAL","OFF","NOT INVERTED","U","               UNK","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                 GLL940520.BSP","                 GLL940520.BSP","                           N/A","   CKEJ03DI_PREDICT_I NTERP.BC","             SSI_MINI_E.EJ03DI",  0.982
"GO_0016","            IDA/C0202561800R.LBL","IM4", -1, -1, -1, -1, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","U","               UNK","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                 GLL940520.BSP","                 GLL940520.BSP","                           N/A","   CKEJ03DI_PREDICT_I NTERP.BC","             SSI_MINI_E.EJ03DI",  1.865
"GO_0016","            IDA/C0202561845R.LBL","IM4", -1, -1, -1, -1, -1, -1, -1, -1,"OFF","  NORMAL","OFF","NOT INVERTED","U","               UNK","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                 GLL940520.BSP","                 GLL940520.BSP","                           N/A","   CKEJ03DI_PREDICT_I NTERP.BC","             SSI_MINI_E.EJ03DI",  0.568
"GO_0016","            IDA/C0202561900R.LBL","IM4", -1, -1, -1, -1, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","U","               UNK","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                 GLL940520.BSP","                 GLL940520.BSP","                           N/A","   CKEJ03DI_PREDICT_I NTERP.BC","             SSI_MINI_E.EJ03DI",  1.510
