# TDB, UTC, DOY, new-SCLK, old-SCLK, difference
122580000 2003-11-20T05:58:55.817168 324 1448000464.886708 1448000464.920089 -0.033380
122600000 2003-11-20T11:32:15.817163 324 1448020465.017063 1448020465.050565 -0.033502
122620000 2003-11-20T17:05:35.817159 324 1448040465.147417 1448040465.181041 -0.033623
122640000 2003-11-20T22:38:55.817154 324 1448060465.277772 1448060465.311517 -0.033745
122660000 2003-11-21T04:12:15.817149 325 1448080465.408127 1448080465.441993 -0.033866
122680000 2003-11-21T09:45:35.817144 325 1448100465.538481 1448100465.572469 -0.033988
122700000 2003-11-21T15:18:55.817139 325 1448120465.668836 1448120465.702945 -0.034109
122720000 2003-11-21T20:52:15.817134 325 1448140465.799191 1448140465.833421 -0.034231
122740000 2003-11-22T02:25:35.817130 326 1448160465.929545 1448160465.963897 -0.034352
122760000 2003-11-22T07:58:55.817125 326 1448180466.059900 1448180466.094374 -0.034474
122780000 2003-11-22T13:32:15.817120 326 1448200466.190255 1448200466.224850 -0.034595
122800000 2003-11-22T19:05:35.817115 326 1448220466.320609 1448220466.355326 -0.034716
122820000 2003-11-23T00:38:55.817110 327 1448240466.450964 1448240466.485802 -0.034838
122840000 2003-11-23T06:12:15.817105 327 1448260466.581319 1448260466.616278 -0.034959
122860000 2003-11-23T11:45:35.817100 327 1448280466.711673 1448280466.746754 -0.035081
122880000 2003-11-23T17:18:55.817095 327 1448300466.842028 1448300466.877230 -0.035202
122900000 2003-11-23T22:52:15.817090 327 1448320466.972383 1448320467.007706 -0.035324
122920000 2003-11-24T04:25:35.817085 328 1448340467.102737 1448340467.138183 -0.035445
122940000 2003-11-24T09:58:55.817080 328 1448360467.233092 1448360467.268659 -0.035567
122960000 2003-11-24T15:32:15.817075 328 1448380467.363447 1448380467.399135 -0.035688
122980000 2003-11-24T21:05:35.817070 328 1448400467.493802 1448400467.529611 -0.035809
123000000 2003-11-25T02:38:55.817064 329 1448420467.624156 1448420467.660087 -0.035931
123020000 2003-11-25T08:12:15.817059 329 1448440467.754511 1448440467.790563 -0.036052
123040000 2003-11-25T13:45:35.817054 329 1448460467.884866 1448460467.921039 -0.036174
123060000 2003-11-25T19:18:55.817049 329 1448480468.015220 1448480468.051516 -0.036295
123080000 2003-11-26T00:52:15.817044 330 1448500468.145575 1448500468.181992 -0.036417
123100000 2003-11-26T06:25:35.817039 330 1448520468.275929 1448520468.312468 -0.036538
123120000 2003-11-26T11:58:55.817033 330 1448540468.406284 1448540468.442944 -0.036660
123140000 2003-11-26T17:32:15.817028 330 1448560468.536639 1448560468.573420 -0.036781
